ID,Order_EN,Order_CN,Family_EN,Family_CN,Genus_EN,Genus_CN,Species_EN,Species_CN,Name_EN,Name_CN
06229,Poales,禾本目,Bromeliaceae,凤梨科,Tillandsia,Tillandsia,utriculata,utriculata,Tillandsia utriculata,Tillandsiautriculata
06453,Zingiberales,姜目,Musaceae,芭蕉科,Musa,Musa,acuminata,香蕉,Musa acuminata,Musa香蕉
06456,Zingiberales,姜目,Zingiberaceae,姜科,Etlingera,Etlingera,elatior,elatior,Etlingera elatior,Etlingeraelatior
06548,Apiales,伞形目,Araliaceae,五加科,Aralia,楤木属,elata,elata,Aralia elata,楤木属elata
06553,Apiales,伞形目,Araliaceae,五加科,Cussonia,Cussonia,spicata,spicata,Cussonia spicata,Cussoniaspicata
06554,Apiales,伞形目,Araliaceae,五加科,Fatsia,八角金盘属,japonica,japonica,Fatsia japonica,八角金盘属japonica
06555,Apiales,伞形目,Araliaceae,五加科,Hedera,常春藤属,helix,helix,Hedera helix,常春藤属helix
06560,Apiales,伞形目,Araliaceae,五加科,Oplopanax,Oplopanax,horridus,horridus,Oplopanax horridus,Oplopanaxhorridus
06563,Apiales,伞形目,Araliaceae,五加科,Pseudopanax,Pseudopanax,arboreus,arboreus,Pseudopanax arboreus,Pseudopanaxarboreus
06565,Apiales,伞形目,Araliaceae,五加科,Pseudopanax,Pseudopanax,crassifolius,crassifolius,Pseudopanax crassifolius,Pseudopanaxcrassifolius
06568,Apiales,伞形目,Araliaceae,五加科,Schefflera,鹅掌柴属,actinophylla,actinophylla,Schefflera actinophylla,鹅掌柴属actinophylla
06570,Apiales,伞形目,Araliaceae,五加科,Schefflera,鹅掌柴属,digitata,digitata,Schefflera digitata,鹅掌柴属digitata
06571,Apiales,伞形目,Araliaceae,五加科,Schefflera,鹅掌柴属,heptaphylla,heptaphylla,Schefflera heptaphylla,鹅掌柴属heptaphylla
06572,Apiales,伞形目,Griseliniaceae,格里斯木科,Griselinia,Griselinia,littoralis,littoralis,Griselinia littoralis,Griselinialittoralis
06574,Apiales,伞形目,Pittosporaceae,海桐花科,Bursaria,Bursaria,spinosa,spinosa,Bursaria spinosa,Bursariaspinosa
06575,Apiales,伞形目,Pittosporaceae,海桐花科,Pittosporum,Pittosporum,crassifolium,crassifolium,Pittosporum crassifolium,Pittosporumcrassifolium
06576,Apiales,伞形目,Pittosporaceae,海桐花科,Pittosporum,Pittosporum,eugenioides,eugenioides,Pittosporum eugenioides,Pittosporumeugenioides
06577,Apiales,伞形目,Pittosporaceae,海桐花科,Pittosporum,Pittosporum,tenuifolium,tenuifolium,Pittosporum tenuifolium,Pittosporumtenuifolium
06578,Apiales,伞形目,Pittosporaceae,海桐花科,Pittosporum,Pittosporum,undulatum,undulatum,Pittosporum undulatum,Pittosporumundulatum
06579,Aquifoliales,冬青目,Aquifoliaceae,冬青科,Ilex,冬青属,aquifolium,枸骨,Ilex aquifolium,冬青属枸骨
06580,Aquifoliales,冬青目,Aquifoliaceae,冬青科,Ilex,冬青属,cassine,cassine,Ilex cassine,冬青属cassine
06581,Aquifoliales,冬青目,Aquifoliaceae,冬青科,Ilex,冬青属,cornuta,cornuta,Ilex cornuta,冬青属cornuta
06582,Aquifoliales,冬青目,Aquifoliaceae,冬青科,Ilex,冬青属,decidua,decidua,Ilex decidua,冬青属decidua
06583,Aquifoliales,冬青目,Aquifoliaceae,冬青科,Ilex,冬青属,glabra,glabra,Ilex glabra,冬青属glabra
06584,Aquifoliales,冬青目,Aquifoliaceae,冬青科,Ilex,冬青属,mucronata,mucronata,Ilex mucronata,冬青属mucronata
06586,Aquifoliales,冬青目,Aquifoliaceae,冬青科,Ilex,冬青属,verticillata,verticillata,Ilex verticillata,冬青属verticillata
06587,Aquifoliales,冬青目,Aquifoliaceae,冬青科,Ilex,冬青属,vomitoria,vomitoria,Ilex vomitoria,冬青属vomitoria
07285,Brassicales,十字花目,Caricaceae,番木瓜科,Carica,Carica,papaya,papaya,Carica papaya,Caricapapaya
07288,Brassicales,十字花目,Cleomaceae,白花菜科,Peritoma,Peritoma,arborea,arborea,Peritoma arborea,Peritomaarborea
07291,Brassicales,十字花目,Koeberliniaceae,科伯林科,Koeberlinia,Koeberlinia,spinosa,spinosa,Koeberlinia spinosa,Koeberliniaspinosa
07292,Brassicales,十字花目,Limnanthaceae,沼花科,Floerkea,Floerkea,proserpinacoides,proserpinacoides,Floerkea proserpinacoides,Floerkeaproserpinacoides
07297,Bruniales,Bruniales,Bruniaceae,布尼亚科,Brunia,Brunia,noduliflora,noduliflora,Brunia noduliflora,Brunianoduliflora
07298,Buxales,Buxales,Buxaceae,黄杨科,Pachysandra,Pachysandra,terminalis,terminalis,Pachysandra terminalis,Pachysandraterminalis
07469,Caryophyllales,石竹目,Didiereaceae,刺戟木科,Portulacaria,Portulacaria,afra,afra,Portulacaria afra,Portulacariaafra
07482,Caryophyllales,石竹目,Frankeniaceae,瓣鳞花科,Frankenia,Frankenia,salina,salina,Frankenia salina,Frankeniasalina
07575,Caryophyllales,石竹目,Tamaricaceae,柽柳科,Tamarix,Tamarix,ramosissima,ramosissima,Tamarix ramosissima,Tamarixramosissima
07576,Celastrales,卫矛目,Celastraceae,卫矛科,Canotia,Canotia,holacantha,holacantha,Canotia holacantha,Canotiaholacantha
07577,Celastrales,卫矛目,Celastraceae,卫矛科,Celastrus,南蛇藤属,orbiculatus,orbiculatus,Celastrus orbiculatus,南蛇藤属orbiculatus
07578,Celastrales,卫矛目,Celastraceae,卫矛科,Celastrus,南蛇藤属,scandens,scandens,Celastrus scandens,南蛇藤属scandens
07579,Celastrales,卫矛目,Celastraceae,卫矛科,Euonymus,卫矛属,alatus,alatus,Euonymus alatus,卫矛属alatus
07584,Celastrales,卫矛目,Celastraceae,卫矛科,Euonymus,卫矛属,japonicus,japonicus,Euonymus japonicus,卫矛属japonicus
07590,Celastrales,卫矛目,Celastraceae,卫矛科,Paxistima,Paxistima,myrsinites,myrsinites,Paxistima myrsinites,Paxistimamyrsinites
07591,Celastrales,卫矛目,Celastraceae,卫矛科,Pterocelastrus,Pterocelastrus,tricuspidatus,tricuspidatus,Pterocelastrus tricuspidatus,Pterocelastrustricuspidatus
07593,Cornales,山茱萸目,Cornaceae,山茱萸科,Cornus,山茱萸属,alba,alba,Cornus alba,山茱萸属alba
07594,Cornales,山茱萸目,Cornaceae,山茱萸科,Cornus,山茱萸属,alternifolia,alternifolia,Cornus alternifolia,山茱萸属alternifolia
07595,Cornales,山茱萸目,Cornaceae,山茱萸科,Cornus,山茱萸属,amomum,amomum,Cornus amomum,山茱萸属amomum
07597,Cornales,山茱萸目,Cornaceae,山茱萸科,Cornus,山茱萸属,drummondii,drummondii,Cornus drummondii,山茱萸属drummondii
07598,Cornales,山茱萸目,Cornaceae,山茱萸科,Cornus,山茱萸属,florida,florida,Cornus florida,山茱萸属florida
07599,Cornales,山茱萸目,Cornaceae,山茱萸科,Cornus,山茱萸属,mas,mas,Cornus mas,山茱萸属mas
07600,Cornales,山茱萸目,Cornaceae,山茱萸科,Cornus,山茱萸属,nuttallii,nuttallii,Cornus nuttallii,山茱萸属nuttallii
07601,Cornales,山茱萸目,Cornaceae,山茱萸科,Cornus,山茱萸属,racemosa,racemosa,Cornus racemosa,山茱萸属racemosa
07603,Cornales,山茱萸目,Cornaceae,山茱萸科,Cornus,山茱萸属,sanguinea,sanguinea,Cornus sanguinea,山茱萸属sanguinea
07604,Cornales,山茱萸目,Cornaceae,山茱萸科,Cornus,山茱萸属,sericea,sericea,Cornus sericea,山茱萸属sericea
07609,Cornales,山茱萸目,Hydrangeaceae,绣球科,Hydrangea,绣球属,quercifolia,quercifolia,Hydrangea quercifolia,绣球属quercifolia
07610,Cornales,山茱萸目,Hydrangeaceae,绣球科,Philadelphus,Philadelphus,lewisii,lewisii,Philadelphus lewisii,Philadelphuslewisii
07613,Cornales,山茱萸目,Loasaceae,刺莲花科,Mentzelia,Mentzelia,hispida,hispida,Mentzelia hispida,Mentzeliahispida
07614,Cornales,山茱萸目,Loasaceae,刺莲花科,Mentzelia,Mentzelia,involucrata,involucrata,Mentzelia involucrata,Mentzeliainvolucrata
07617,Cornales,山茱萸目,Nyssaceae,蓝果树科,Nyssa,蓝果树属,sylvatica,sylvatica,Nyssa sylvatica,蓝果树属sylvatica
07618,Crossosomatales,流苏子目,Staphyleaceae,省沽油科,Staphylea,Staphylea,trifolia,trifolia,Staphylea trifolia,Staphyleatrifolia
07619,Cucurbitales,葫芦目,Coriariaceae,马桑科,Coriaria,Coriaria,arborea,arborea,Coriaria arborea,Coriariaarborea
07620,Cucurbitales,葫芦目,Corynocarpaceae,棒果科,Corynocarpus,Corynocarpus,laevigatus,laevigatus,Corynocarpus laevigatus,Corynocarpuslaevigatus
07634,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Centranthus,Centranthus,ruber,ruber,Centranthus ruber,Centranthusruber
07635,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Diervilla,Diervilla,lonicera,lonicera,Diervilla lonicera,Diervillalonicera
07636,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Dipsacus,Dipsacus,fullonum,fullonum,Dipsacus fullonum,Dipsacusfullonum
07637,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Dipsacus,Dipsacus,laciniatus,laciniatus,Dipsacus laciniatus,Dipsacuslaciniatus
07638,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Dipsacus,Dipsacus,sativus,sativus,Dipsacus sativus,Dipsacussativus
07639,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Knautia,Knautia,arvensis,arvensis,Knautia arvensis,Knautiaarvensis
07640,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Leycesteria,Leycesteria,formosa,formosa,Leycesteria formosa,Leycesteriaformosa
07647,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Lonicera,忍冬属,involucrata,involucrata,Lonicera involucrata,忍冬属involucrata
07648,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Lonicera,忍冬属,japonica,japonica,Lonicera japonica,忍冬属japonica
07649,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Lonicera,忍冬属,maackii,maackii,Lonicera maackii,忍冬属maackii
07650,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Lonicera,忍冬属,morrowii,morrowii,Lonicera morrowii,忍冬属morrowii
07651,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Lonicera,忍冬属,periclymenum,periclymenum,Lonicera periclymenum,忍冬属periclymenum
07652,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Lonicera,忍冬属,sempervirens,sempervirens,Lonicera sempervirens,忍冬属sempervirens
07653,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Lonicera,忍冬属,subspicata,subspicata,Lonicera subspicata,忍冬属subspicata
07654,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Lonicera,忍冬属,tatarica,tatarica,Lonicera tatarica,忍冬属tatarica
07655,Dipsacales,川续断目,Caprifoliaceae,忍冬科,Lonicera,忍冬属,xylosteum,xylosteum,Lonicera xylosteum,忍冬属xylosteum
07672,Dipsacales,川续断目,Viburnaceae,荚蒾科,Sambucus,接骨木属,canadensis,canadensis,Sambucus canadensis,接骨木属canadensis
07673,Dipsacales,川续断目,Viburnaceae,荚蒾科,Sambucus,接骨木属,cerulea,cerulea,Sambucus cerulea,接骨木属cerulea
07674,Dipsacales,川续断目,Viburnaceae,荚蒾科,Sambucus,接骨木属,ebulus,ebulus,Sambucus ebulus,接骨木属ebulus
07675,Dipsacales,川续断目,Viburnaceae,荚蒾科,Sambucus,接骨木属,javanica,javanica,Sambucus javanica,接骨木属javanica
07676,Dipsacales,川续断目,Viburnaceae,荚蒾科,Sambucus,接骨木属,nigra,nigra,Sambucus nigra,接骨木属nigra
07688,Dipsacales,川续断目,Viburnaceae,荚蒾科,Viburnum,荚蒾属,rhytidophyllum,rhytidophyllum,Viburnum rhytidophyllum,荚蒾属rhytidophyllum
07702,Ericales,杜鹃花目,Ebenaceae,柿科,Diospyros,Diospyros,texana,texana,Diospyros texana,Diospyrostexana
07703,Ericales,杜鹃花目,Ebenaceae,柿科,Diospyros,Diospyros,virginiana,virginiana,Diospyros virginiana,Diospyrosvirginiana
07706,Ericales,杜鹃花目,Ericaceae,杜鹃花科,Arbutus,草莓树属,menziesii,menziesii,Arbutus menziesii,草莓树属menziesii
07707,Ericales,杜鹃花目,Ericaceae,杜鹃花科,Arbutus,草莓树属,unedo,unedo,Arbutus unedo,草莓树属unedo
07708,Ericales,杜鹃花目,Ericaceae,杜鹃花科,Arbutus,草莓树属,xalapensis,xalapensis,Arbutus xalapensis,草莓树属xalapensis
07709,Ericales,杜鹃花目,Ericaceae,杜鹃花科,Arctostaphylos,熊果属,glauca,glauca,Arctostaphylos glauca,熊果属glauca
07710,Ericales,杜鹃花目,Ericaceae,杜鹃花科,Arctostaphylos,熊果属,nevadensis,nevadensis,Arctostaphylos nevadensis,熊果属nevadensis
07711,Ericales,杜鹃花目,Ericaceae,杜鹃花科,Arctostaphylos,熊果属,patula,patula,Arctostaphylos patula,熊果属patula
07712,Ericales,杜鹃花目,Ericaceae,杜鹃花科,Arctostaphylos,熊果属,pungens,pungens,Arctostaphylos pungens,熊果属pungens
07729,Ericales,杜鹃花目,Ericaceae,杜鹃花科,Erica,欧石楠属,arborea,arborea,Erica arborea,欧石楠属arborea
07740,Ericales,杜鹃花目,Ericaceae,杜鹃花科,Gaultheria,白珠树属,antipoda,antipoda,Gaultheria antipoda,白珠树属antipoda
07782,Ericales,杜鹃花目,Ericaceae,杜鹃花科,Rhododendron,杜鹃花属,maximum,maximum,Rhododendron maximum,杜鹃花属maximum
07783,Ericales,杜鹃花目,Ericaceae,杜鹃花科,Rhododendron,杜鹃花属,menziesii,menziesii,Rhododendron menziesii,杜鹃花属menziesii
07784,Ericales,杜鹃花目,Ericaceae,杜鹃花科,Rhododendron,杜鹃花属,occidentale,occidentale,Rhododendron occidentale,杜鹃花属occidentale
07888,Fabales,豆目,Fabaceae,豆科,Acacia,金合欢属,confusa,confusa,Acacia confusa,金合欢属confusa
07889,Fabales,豆目,Fabaceae,豆科,Acacia,金合欢属,cyclops,cyclops,Acacia cyclops,金合欢属cyclops
07890,Fabales,豆目,Fabaceae,豆科,Acacia,金合欢属,dealbata,银荆,Acacia dealbata,金合欢属银荆
07892,Fabales,豆目,Fabaceae,豆科,Acacia,金合欢属,mearnsii,mearnsii,Acacia mearnsii,金合欢属mearnsii
07893,Fabales,豆目,Fabaceae,豆科,Acacia,金合欢属,melanoxylon,melanoxylon,Acacia melanoxylon,金合欢属melanoxylon
07896,Fabales,豆目,Fabaceae,豆科,Acacia,金合欢属,pycnantha,pycnantha,Acacia pycnantha,金合欢属pycnantha
07897,Fabales,豆目,Fabaceae,豆科,Acacia,金合欢属,saligna,saligna,Acacia saligna,金合欢属saligna
07903,Fabales,豆目,Fabaceae,豆科,Albizia,合欢属,julibrissin,julibrissin,Albizia julibrissin,合欢属julibrissin
07905,Fabales,豆目,Fabaceae,豆科,Amorpha,Amorpha,fruticosa,fruticosa,Amorpha fruticosa,Amorphafruticosa
07925,Fabales,豆目,Fabaceae,豆科,Caesalpinia,Caesalpinia,pulcherrima,pulcherrima,Caesalpinia pulcherrima,Caesalpiniapulcherrima
07927,Fabales,豆目,Fabaceae,豆科,Calliandra,Calliandra,houstoniana,houstoniana,Calliandra houstoniana,Calliandrahoustoniana
07929,Fabales,豆目,Fabaceae,豆科,Caragana,Caragana,arborescens,arborescens,Caragana arborescens,Caraganaarborescens
07930,Fabales,豆目,Fabaceae,豆科,Carmichaelia,Carmichaelia,australis,australis,Carmichaelia australis,Carmichaeliaaustralis
07931,Fabales,豆目,Fabaceae,豆科,Cassia,Cassia,fistula,fistula,Cassia fistula,Cassiafistula
07933,Fabales,豆目,Fabaceae,豆科,Ceratonia,Ceratonia,siliqua,siliqua,Ceratonia siliqua,Ceratoniasiliqua
07934,Fabales,豆目,Fabaceae,豆科,Cercis,紫荆属,canadensis,canadensis,Cercis canadensis,紫荆属canadensis
07935,Fabales,豆目,Fabaceae,豆科,Cercis,紫荆属,occidentalis,occidentalis,Cercis occidentalis,紫荆属occidentalis
07942,Fabales,豆目,Fabaceae,豆科,Cytisus,Cytisus,proliferus,proliferus,Cytisus proliferus,Cytisusproliferus
07949,Fabales,豆目,Fabaceae,豆科,Dermatophyllum,Dermatophyllum,secundiflorum,secundiflorum,Dermatophyllum secundiflorum,Dermatophyllumsecundiflorum
07954,Fabales,豆目,Fabaceae,豆科,Ebenopsis,Ebenopsis,ebano,ebano,Ebenopsis ebano,Ebenopsisebano
07955,Fabales,豆目,Fabaceae,豆科,Enterolobium,Enterolobium,cyclocarpum,cyclocarpum,Enterolobium cyclocarpum,Enterolobiumcyclocarpum
07958,Fabales,豆目,Fabaceae,豆科,Erythrostemon,Erythrostemon,mexicanus,mexicanus,Erythrostemon mexicanus,Erythrostemonmexicanus
07963,Fabales,豆目,Fabaceae,豆科,Gleditsia,皂荚属,triacanthos,三刺皂荚,Gleditsia triacanthos,皂荚属三刺皂荚
07964,Fabales,豆目,Fabaceae,豆科,Gliricidia,Gliricidia,sepium,sepium,Gliricidia sepium,Gliricidiasepium
07966,Fabales,豆目,Fabaceae,豆科,Guilandina,Guilandina,bonduc,bonduc,Guilandina bonduc,Guilandinabonduc
07967,Fabales,豆目,Fabaceae,豆科,Gymnocladus,Gymnocladus,dioicus,dioicus,Gymnocladus dioicus,Gymnocladusdioicus
07968,Fabales,豆目,Fabaceae,豆科,Hardenbergia,Hardenbergia,violacea,violacea,Hardenbergia violacea,Hardenbergiaviolacea
07978,Fabales,豆目,Fabaceae,豆科,Laburnum,金链花属,anagyroides,anagyroides,Laburnum anagyroides,金链花属anagyroides
07993,Fabales,豆目,Fabaceae,豆科,Leucaena,Leucaena,leucocephala,leucocephala,Leucaena leucocephala,Leucaenaleucocephala
08034,Fabales,豆目,Fabaceae,豆科,Olneya,Olneya,tesota,tesota,Olneya tesota,Olneyatesota
08039,Fabales,豆目,Fabaceae,豆科,Paraserianthes,Paraserianthes,lophantha,lophantha,Paraserianthes lophantha,Paraseriantheslophantha
08040,Fabales,豆目,Fabaceae,豆科,Parkinsonia,Parkinsonia,aculeata,aculeata,Parkinsonia aculeata,Parkinsoniaaculeata
08041,Fabales,豆目,Fabaceae,豆科,Parkinsonia,Parkinsonia,florida,florida,Parkinsonia florida,Parkinsoniaflorida
08042,Fabales,豆目,Fabaceae,豆科,Parkinsonia,Parkinsonia,microphylla,microphylla,Parkinsonia microphylla,Parkinsoniamicrophylla
08046,Fabales,豆目,Fabaceae,豆科,Pithecellobium,Pithecellobium,dulce,dulce,Pithecellobium dulce,Pithecellobiumdulce
08048,Fabales,豆目,Fabaceae,豆科,Prosopis,Prosopis,glandulosa,glandulosa,Prosopis glandulosa,Prosopisglandulosa
08049,Fabales,豆目,Fabaceae,豆科,Prosopis,Prosopis,laevigata,laevigata,Prosopis laevigata,Prosopislaevigata
08050,Fabales,豆目,Fabaceae,豆科,Prosopis,Prosopis,pubescens,pubescens,Prosopis pubescens,Prosopispubescens
08051,Fabales,豆目,Fabaceae,豆科,Prosopis,Prosopis,velutina,velutina,Prosopis velutina,Prosopisvelutina
08052,Fabales,豆目,Fabaceae,豆科,Psorothamnus,Psorothamnus,emoryi,emoryi,Psorothamnus emoryi,Psorothamnusemoryi
08054,Fabales,豆目,Fabaceae,豆科,Psorothamnus,Psorothamnus,spinosus,spinosus,Psorothamnus spinosus,Psorothamnusspinosus
08056,Fabales,豆目,Fabaceae,豆科,Robinia,刺槐属,neomexicana,neomexicana,Robinia neomexicana,刺槐属neomexicana
08057,Fabales,豆目,Fabaceae,豆科,Robinia,刺槐属,pseudoacacia,刺槐,Robinia pseudoacacia,刺槐属刺槐
08061,Fabales,豆目,Fabaceae,豆科,Senna,番泻树属,alata,alata,Senna alata,番泻树属alata
08062,Fabales,豆目,Fabaceae,豆科,Senna,番泻树属,armata,armata,Senna armata,番泻树属armata
08065,Fabales,豆目,Fabaceae,豆科,Senna,番泻树属,hebecarpa,hebecarpa,Senna hebecarpa,番泻树属hebecarpa
08066,Fabales,豆目,Fabaceae,豆科,Senna,番泻树属,lindheimeriana,lindheimeriana,Senna lindheimeriana,番泻树属lindheimeriana
08067,Fabales,豆目,Fabaceae,豆科,Senna,番泻树属,marilandica,marilandica,Senna marilandica,番泻树属marilandica
08068,Fabales,豆目,Fabaceae,豆科,Senna,番泻树属,obtusifolia,obtusifolia,Senna obtusifolia,番泻树属obtusifolia
08069,Fabales,豆目,Fabaceae,豆科,Senna,番泻树属,occidentalis,occidentalis,Senna occidentalis,番泻树属occidentalis
08071,Fabales,豆目,Fabaceae,豆科,Sesbania,Sesbania,drummondii,drummondii,Sesbania drummondii,Sesbaniadrummondii
08075,Fabales,豆目,Fabaceae,豆科,Sophora,槐属,affinis,affinis,Sophora affinis,槐属affinis
08076,Fabales,豆目,Fabaceae,豆科,Sophora,槐属,microphylla,microphylla,Sophora microphylla,槐属microphylla
08081,Fabales,豆目,Fabaceae,豆科,Tamarindus,Tamarindus,indica,indica,Tamarindus indica,Tamarindusindica
08105,Fabales,豆目,Fabaceae,豆科,Vachellia,Vachellia,cornigera,cornigera,Vachellia cornigera,Vachelliacornigera
08106,Fabales,豆目,Fabaceae,豆科,Vachellia,Vachellia,farnesiana,farnesiana,Vachellia farnesiana,Vachelliafarnesiana
08108,Fabales,豆目,Fabaceae,豆科,Vachellia,Vachellia,rigidula,rigidula,Vachellia rigidula,Vachelliarigidula
08109,Fabales,豆目,Fabaceae,豆科,Vachellia,Vachellia,schaffneri,schaffneri,Vachellia schaffneri,Vachelliaschaffneri
08123,Fabales,豆目,Fabaceae,豆科,Wisteria,紫藤属,sinensis,sinensis,Wisteria sinensis,紫藤属sinensis
08138,Fagales,壳斗目,Betulaceae,桦木科,Alnus,桤木属,alnobetula,alnobetula,Alnus alnobetula,桤木属alnobetula
08139,Fagales,壳斗目,Betulaceae,桦木科,Alnus,桤木属,glutinosa,欧洲桤木,Alnus glutinosa,桤木属欧洲桤木
08141,Fagales,壳斗目,Betulaceae,桦木科,Alnus,桤木属,rhombifolia,rhombifolia,Alnus rhombifolia,桤木属rhombifolia
08144,Fagales,壳斗目,Betulaceae,桦木科,Betula,桦木属,alleghaniensis,alleghaniensis,Betula alleghaniensis,桦木属alleghaniensis
08145,Fagales,壳斗目,Betulaceae,桦木科,Betula,桦木属,lenta,lenta,Betula lenta,桦木属lenta
08146,Fagales,壳斗目,Betulaceae,桦木科,Betula,桦木属,nana,nana,Betula nana,桦木属nana
08147,Fagales,壳斗目,Betulaceae,桦木科,Betula,桦木属,nigra,nigra,Betula nigra,桦木属nigra
08148,Fagales,壳斗目,Betulaceae,桦木科,Betula,桦木属,papyrifera,papyrifera,Betula papyrifera,桦木属papyrifera
08149,Fagales,壳斗目,Betulaceae,桦木科,Betula,桦木属,pendula,垂枝桦,Betula pendula,桦木属垂枝桦
08150,Fagales,壳斗目,Betulaceae,桦木科,Betula,桦木属,populifolia,populifolia,Betula populifolia,桦木属populifolia
08151,Fagales,壳斗目,Betulaceae,桦木科,Betula,桦木属,pubescens,pubescens,Betula pubescens,桦木属pubescens
08154,Fagales,壳斗目,Betulaceae,桦木科,Carpinus,鹅耳枥属,caroliniana,caroliniana,Carpinus caroliniana,鹅耳枥属caroliniana
08155,Fagales,壳斗目,Betulaceae,桦木科,Corylus,榛属,americana,americana,Corylus americana,榛属americana
08156,Fagales,壳斗目,Betulaceae,桦木科,Corylus,榛属,avellana,欧洲榛,Corylus avellana,榛属欧洲榛
08158,Fagales,壳斗目,Betulaceae,桦木科,Ostrya,Ostrya,virginiana,virginiana,Ostrya virginiana,Ostryavirginiana
08159,Fagales,壳斗目,Casuarinaceae,木麻黄科,Casuarina,Casuarina,equisetifolia,equisetifolia,Casuarina equisetifolia,Casuarinaequisetifolia
08160,Fagales,壳斗目,Fagaceae,壳斗科,Castanea,栗属,dentata,dentata,Castanea dentata,栗属dentata
08161,Fagales,壳斗目,Fagaceae,壳斗科,Castanea,栗属,sativa,欧洲栗,Castanea sativa,栗属欧洲栗
08162,Fagales,壳斗目,Fagaceae,壳斗科,Chrysolepis,Chrysolepis,chrysophylla,chrysophylla,Chrysolepis chrysophylla,Chrysolepischrysophylla
08163,Fagales,壳斗目,Fagaceae,壳斗科,Chrysolepis,Chrysolepis,sempervirens,sempervirens,Chrysolepis sempervirens,Chrysolepissempervirens
08164,Fagales,壳斗目,Fagaceae,壳斗科,Fagus,山毛榉属,grandifolia,grandifolia,Fagus grandifolia,山毛榉属grandifolia
08165,Fagales,壳斗目,Fagaceae,壳斗科,Fagus,山毛榉属,sylvatica,欧洲山毛榉,Fagus sylvatica,山毛榉属欧洲山毛榉
08166,Fagales,壳斗目,Fagaceae,壳斗科,Notholithocarpus,Notholithocarpus,densiflorus,densiflorus,Notholithocarpus densiflorus,Notholithocarpusdensiflorus
08167,Fagales,壳斗目,Fagaceae,壳斗科,Quercus,栎属,agrifolia,agrifolia,Quercus agrifolia,栎属agrifolia
08168,Fagales,壳斗目,Fagaceae,壳斗科,Quercus,栎属,alba,alba,Quercus alba,栎属alba
08169,Fagales,壳斗目,Fagaceae,壳斗科,Quercus,栎属,berberidifolia,berberidifolia,Quercus berberidifolia,栎属berberidifolia
08170,Fagales,壳斗目,Fagaceae,壳斗科,Quercus,栎属,bicolor,bicolor,Quercus bicolor,栎属bicolor
08171,Fagales,壳斗目,Fagaceae,壳斗科,Quercus,栎属,buckleyi,buckleyi,Quercus buckleyi,栎属buckleyi
