folder,folder_idx,picked_images,top1_species,top1_score,top5_species,top5_scores,status_code,error
137_08034_tesota,137,a0816513-8103-46ab-ad8c-e78c85467102.jpg;41a2d895-ab8c-4599-accf-4d9d774dab71.jpg;08ae457a-26c3-4b59-a30d-5eff4b490505.jpg,Olneya tesota,0.972,Olneya tesota;Larrea divaricata;Strombocarpa pubescens;Vachellia constricta;Anagyris foetida,0.972;0.0573;0.04567;0.04245;0.03053,200,
138_08039_lophantha,138,c3b2a52b-f770-46ba-9e12-40a800f0592d.jpg;7efe1b61-f42d-4a0e-add8-52b03f87d463.jpg;f789966f-3b19-4523-8c6f-c01442dbe580.jpg,Paraserianthes lophantha,0.93442,Paraserianthes lophantha;Acacia mearnsii;Leucaena leucocephala;Albizia carbonaria;Albizia chinensis,0.93442;0.02513;0.00349;0.00204;0.0012,200,
139_08040_aculeata,139,05c964c0-d2b6-484e-89f1-e1029521b7d0.jpg;9247703c-83f6-422d-ad98-42dcea9dabdb.jpg;b31d0259-f749-4cc1-9e65-e1ccd93daf54.jpg,Parkinsonia aculeata,0.97944,Parkinsonia aculeata;Parkinsonia africana;Tipuana tipu;Senna marilandica;Senna birostris,0.97944;0.0024;0.00187;0.00169;0.00138,200,
140_08041_florida,140,4a7d0b8f-62bd-4f3b-9ac8-cfeb393ca50c.jpg;297b797d-d1e6-4121-96c0-3268847d59b9.jpg;c1856dc3-39f0-446f-8a4f-4b184766ad57.jpg,Parkinsonia florida,0.83096,Parkinsonia florida;Parkinsonia aculeata;Parkinsonia africana;Haloxylon persicum;Adenolobus garipensis,0.83096;0.1474;0.05924;0.03735;0.03335,200,
141_08042_microphylla,141,abeb5685-46b6-4030-ba58-5b55967a9e20.jpg;16da7a8c-b104-430c-ae8c-d47da0b8c1f7.jpg;f235006f-4c3b-4bf5-9dd8-9fce10f5a5d9.jpg,Parkinsonia microphylla,0.9506,Parkinsonia microphylla;Alhagi maurorum;Parkinsonia aculeata;Koeberlinia spinosa;Balanites aegyptiaca,0.9506;0.11514;0.07552;0.07205;0.07152,200,
142_08046_dulce,142,bbf5125c-09e8-4052-9ed0-fc6f942cfb39.jpg;ca3b10c5-d82a-4529-8a8a-8b050418560b.jpg;339e2f16-58d0-463f-b83f-db0b3fe0e5cc.jpg,Pithecellobium dulce,0.85802,Pithecellobium dulce;Pithecellobium unguis-cati;Aegle marmelos;Inga stipularis;Codia nitida,0.85802;0.27228;0.05268;0.03918;0.03775,200,
143_08048_glandulosa,143,67e98dc6-8971-48f5-8ec8-ffd1dd3e9113.jpg;0692b465-782e-481a-a7a8-48f11490cc15.jpg;1e841073-351b-4196-9f47-ce65d578d87a.jpg,Prosopis glandulosa,0.473,Prosopis glandulosa;Tamarix gallica;Tamarix aphylla;Casuarina equisetifolia;Schinus molle,0.473;0.13733;0.11135;0.04766;0.02998,200,
144_08049_laevigata,144,361e548f-e1ce-4db8-834d-acdb816966cf.jpg;0a4fa911-c7d0-4d14-b394-970d046aba62.jpg;54886e57-43fa-45ff-8acb-41060589567a.jpg,Prosopis velutina,0.24948,Prosopis velutina;Acacia farnesiana;Prosopis pallida;Prosopis glandulosa;Ziziphus spina-christi,0.24948;0.05869;0.04436;0.01969;0.01506,200,
145_08050_pubescens,145,4bbf8e5f-b07b-4b24-9225-8bde57278202.jpg;a7153cc3-e09c-4803-8480-b89baa5521b8.jpg;867b7657-a1cd-46ee-98dc-f3af91faf0e3.jpg,Strombocarpa pubescens,0.94057,Strombocarpa pubescens;Welwitschia mirabilis;Strombocarpa strombulifera;Tecticornia indica;Neltuma glandulosa,0.94057;0.08007;0.04937;0.01993;0.01991,200,
146_08051_velutina,146,d18ae381-8aa7-4857-9024-d10dc4870308.jpg;ee582276-1ff9-48f0-91b5-356bf37f9fb6.jpg;b7c1061f-c8d0-4b14-9372-6278426ed695.jpg,Neltuma juliflora,0.22245,Neltuma juliflora;Neltuma glandulosa;Vachellia farnesiana;Neltuma velutina;Vachellia aroma,0.22245;0.1832;0.16042;0.13751;0.1071,200,
147_08052_emoryi,147,de8b19dc-1cb2-4529-98a8-b10d591de393.jpg;1e785c46-ffff-406b-abfc-edba003dbb3e.jpg;d420f36c-c8ec-4a16-abe2-171ecf678ca2.jpg,Astragalus magdalenae,0.10869,Astragalus magdalenae;Medicago marina;Astragalus vogelii;Indigofera articulata;Astragalus vesicarius,0.10869;0.0294;0.02832;0.0222;0.01699,200,
148_08054_spinosus,148,e2f5f6a0-e5fd-434f-8701-9859303d6182.jpg;f9c0f627-20b7-47eb-a8d6-ab9ee9908922.jpg;9c7c561f-3b40-467d-8900-340bba242cfa.jpg,Psorothamnus schottii,0.82941,Psorothamnus schottii;Haloxylon ammodendron;Cupressus dupreziana;Eucalyptus rosacea;Nolina bigelovii,0.82941;0.0647;0.02574;0.02432;0.02338,200,
149_08056_neomexicana,149,652eb03a-ea3e-4967-88cd-209ebc08e9ab.jpg;e1dd035a-b1b9-477f-aa20-f133b92bedc7.jpg;917b76b6-7f34-4c8c-bf55-37e467df8b13.jpg,Robinia hispida,0.65002,Robinia hispida;Robinia neomexicana;Robinia viscosa;Lonchocarpus violaceus;Indigofera bungeana,0.65002;0.61199;0.01155;0.00469;0.00408,200,
150_08057_pseudoacacia,150,c9b30b22-da26-4ebc-9002-6284066db1a1.jpg;0ffb3eba-0d75-4fbe-be43-6b8e95a291db.jpg;3111667a-5c9e-4ff3-981c-7d1d57928a68.jpg,Robinia pseudoacacia,0.83722,Robinia pseudoacacia;Cladrastis kentukea;Robinia viscosa;Maackia amurensis;Amorpha fruticosa,0.83722;0.63119;0.05922;0.01852;0.01624,200,
151_08061_alata,151,5b12b5db-d06f-43ed-bf2d-ff3e7e238878.jpg;7cbfc0f7-5be6-40e0-8fe0-ca9fc85b78ce.jpg;ef3b4a36-df8e-4d78-a1c4-f1f3a896f901.jpg,Senna alata,0.93919,Senna alata;Senna reticulata;Cenostigma pluviosum;Senna didymobotrya;Celosia leptostachya,0.93919;0.03037;0.00868;0.00765;0.00248,200,
152_08062_armata,152,087f750b-24e1-42ae-ad73-9fc4cceac61b.jpg;a5b669a4-76ed-42e1-826d-8984f8e343b7.jpg;d3954478-cae3-44ea-8152-b15d2b3afcf3.jpg,Senna armata,0.68989,Senna armata;Coronilla juncea;Odontarrhena corsica;Aurinia saxatilis;Gutierrezia microcephala,0.68989;0.03015;0.0205;0.01704;0.01013,200,
153_08065_hebecarpa,153,cec61afd-0bd6-480f-9e72-71886db25460.jpg;fd35210b-b206-4808-909a-bf8e5ec3858b.jpg;8b664977-041b-4680-bceb-13ba52add784.jpg,Senna marilandica,0.85893,Senna marilandica;Senna hebecarpa;Glycyrrhiza lepidota;Indigofera arrecta;Glycyrrhiza glabra,0.85893;0.46856;0.02338;0.02192;0.01914,200,
154_08066_lindheimeriana,154,d90c573a-b4e7-4a3b-891f-0d7aa5e8da8a.jpg;f75c3cc8-5495-4315-a81d-5c25a533b489.jpg;490b02b1-4ab8-44b4-8443-d69af4fa1524.jpg,Senna italica,0.10315,Senna italica;Senna multiglandulosa;Senna occidentalis;Indigofera swaziensis;Senna auriculata,0.10315;0.08878;0.08396;0.06097;0.03778,200,
155_08067_marilandica,155,1dd64133-ea2c-46b9-921d-01c7095d858e.jpg;93f02843-caf9-4708-a040-f19cdf29141e.jpg;a2f88151-f5dd-4daf-88aa-249bf13ece09.jpg,Senna marilandica,0.90297,Senna marilandica;Senna occidentalis;Senna hebecarpa;Senna sophera;Senna hirsuta,0.90297;0.14011;0.12185;0.08086;0.04752,200,
156_08068_obtusifolia,156,51c89dbc-3830-4341-8417-b5887fa7b695.jpg;7b470380-fb27-4178-ad70-d9da496c63e7.jpg;0cec5c63-28b8-463c-b184-5a5fe8c36a42.jpg,Senna obtusifolia,0.63012,Senna obtusifolia;Senna tora;Senna occidentalis;Senna cobanensis;Senna surattensis,0.63012;0.24024;0.01804;0.01207;0.01195,200,
157_08069_occidentalis,157,92860ea9-c901-4bd0-b6fc-a571f2bd9514.jpg;17ab3101-748f-4d12-9356-d33e99e50462.jpg;de26c98f-9db0-4c30-b108-c7190cf3e609.jpg,Senna occidentalis,0.71676,Senna occidentalis;Senna sophera;Senna tora;Senna quinquangulata;Glycyrrhiza glabra,0.71676;0.2254;0.04128;0.02535;0.02226,200,
158_08071_drummondii,158,08944dfb-fd14-4f99-9985-8093673c7f53.jpg;890c155e-3bac-4e41-bca7-7cea289e16ca.jpg;7ef43d26-6a3a-41be-a6c5-2ea352b2977f.jpg,Sesbania drummondii,0.83053,Sesbania drummondii;Sesbania grandiflora;Sesbania virgata;Sesbania sesban;Entada africana,0.83053;0.01463;0.0146;0.01079;0.01011,200,
159_08075_affinis,159,3bfede7d-f1ba-48cc-a295-69d0d134ca03.jpg;2e79b897-6ca7-464e-8e43-c673f49e9c76.jpg;606d1d41-d9cc-423d-93d2-fcd31bf1dc91.jpg,Colutea arborescens,0.30501,Colutea arborescens;Robinia pseudoacacia;Lonchocarpus violaceus;Robinia viscosa;Ziziphus jujuba,0.30501;0.18563;0.09607;0.09456;0.09329,200,
160_08076_microphylla,160,32d4f473-3f28-42b6-b94c-010cc7acb42b.jpg;2c49a169-051e-48ea-aa0c-683b2222fd3c.jpg;5f274a46-34f4-4f79-bfcd-b95bb6853b8d.jpg,Sophora microphylla,0.45627,Sophora microphylla;Lygodium articulatum;Sophora tetraptera;Sophora cassioides;Sophora denudata,0.45627;0.15715;0.14754;0.10756;0.09818,200,
161_08081_indica,161,c8bca7ee-6e7c-47f9-baf7-351b21c2d577.jpg;6c3af97c-4e38-4774-8c42-a1d7d4ce3385.jpg;fffd39d6-b232-4f2c-94e3-54d6ec4510a1.jpg,Tamarindus indica,0.78984,Tamarindus indica;Libidibia coriaria;Peltophorum africanum;Lysiloma latisiliquum;Kigelia africana,0.78984;0.08508;0.05193;0.02771;0.0267,200,
162_08105_cornigera,162,9e9d068e-4125-44da-83c9-91b999d5fd2c.jpg;6197d6ac-62a5-423d-aa59-73b2ec8a662e.jpg;67e79d93-cff5-49b3-ade1-de81de0e2f6d.jpg,Vachellia cornigera,0.65483,Vachellia cornigera;Vachellia collinsii;Senegalia hayesii;Newtonia buchananii;Acacia dealbata,0.65483;0.09749;0.07574;0.07303;0.04893,200,
163_08106_farnesiana,163,4cec863d-74d5-4276-bbb4-24c892f66937.jpg;f26b9853-6b5e-4309-88bb-c1ba03da7850.jpg;2f4e547e-09a1-4164-92f8-9b819c6beeef.jpg,,,,,404,http_404
164_08108_rigidula,164,c58a0af9-ff62-4db7-b83b-e5d28b3925b7.jpg;773de447-bf1e-4176-bf1e-a0e04d6010b8.jpg;e110836f-6a0d-4f30-9da2-25664673fa14.jpg,Vachellia rigidula,0.96219,Vachellia rigidula;Chloroleucon tortum;Gleditsia aquatica;Ormocarpum kirkii;Albizia anthelmintica,0.96219;0.17888;0.14497;0.04881;0.01324,200,
165_08109_schaffneri,165,4c3bf956-00f7-40ff-97c4-063b886ca629.jpg;4061d8a5-7910-4a73-af54-ea40355d5266.jpg;6d95c240-5207-4d0e-8eed-36cdb6406d7b.jpg,Vachellia farnesiana,0.28852,Vachellia farnesiana;Vachellia tortuosa;Vachellia karroo;Neltuma velutina;Vachellia nilotica,0.28852;0.11282;0.1128;0.08605;0.06058,200,
166_08123_sinensis,166,606d3380-68b5-4440-b5a1-9afe9154545b.jpg;9967fb1a-ff41-4ad4-8d2d-342a0e88ac26.jpg;c182dc83-b875-4624-885b-1dcfc27fb55c.jpg,Wisteria sinensis,0.4535,Wisteria sinensis;Wisteria floribunda;Wisteria frutescens;Scilla libanotica;Robinsonella cordata,0.4535;0.24353;0.14563;0.05473;0.01334,200,
167_08138_alnobetula,167,0be1e1ff-e477-4426-ab21-5b44719eac2d.jpg;d234ce1d-598e-41d2-8a31-5dcb8fa984ad.jpg;6aeb7364-0955-49fd-8904-0d1efaa5689f.jpg,Alnus alnobetula,0.49458,Alnus alnobetula;Carpinus betulus;Corylus avellana;Alnus hirsuta;Corylus cornuta,0.49458;0.16157;0.12014;0.11386;0.04847,200,
168_08139_glutinosa,168,7aebe521-104e-41a2-b9de-e8eb917c04a4.jpg;2023656f-e6ed-4385-aa48-9eb12d00b624.jpg;9c05810c-4312-406b-be94-d71a51fe939e.jpg,Alnus incana,0.80532,Alnus incana;Alnus glutinosa;Alnus alnobetula;Alnus × pubescens;Alnus rubra,0.80532;0.43604;0.07026;0.0227;0.01042,200,
169_08141_rhombifolia,169,4f709821-a8ad-4d29-b44d-b5321cdd9004.jpg;6fa7702c-d04b-47ba-b45c-43f727ee621e.jpg;a2dc0661-380a-48bd-b8ef-88ea5ef4aaca.jpg,Betula pendula,0.46606,Betula pendula;Alnus incana;Alnus rhombifolia;Alnus oblongifolia;Alnus serrulata,0.46606;0.29752;0.24625;0.21535;0.16047,200,
170_08144_alleghaniensis,170,fc6267f7-6d4f-4696-86d6-a23ef03cf0d4.jpg;096d7e2e-4c79-4396-81bb-fe9b0a4738cc.jpg;457d039d-7405-49f2-b35e-41edaf13f82d.jpg,Ostrya virginiana,0.47478,Ostrya virginiana;Ostrya carpinifolia;Betula alleghaniensis;Carpinus betulus;Carpinus orientalis,0.47478;0.16874;0.14241;0.11213;0.0854,200,
171_08145_lenta,171,066cf200-6af7-4969-99f8-448fb37c11c4.jpg;18a0353c-4cde-4f31-b46d-14e704359489.jpg;360e9caf-d0e9-4104-ab6c-eefbb72a09fa.jpg,Betula lenta,0.60018,Betula lenta;Betula alleghaniensis;Fagus grandifolia;Abies balsamea;Ostrya virginiana,0.60018;0.23657;0.08374;0.07438;0.05758,200,
172_08146_nana,172,24d1c1c0-4f0d-4fe6-99c2-da8b86bea8a6.jpg;0d2b27e7-2cde-4430-9303-14b11a1b1794.jpg;ba5fef22-1b68-4f60-9b71-755ca2d8c51a.jpg,Betula nana,0.66071,Betula nana;Betula pumila;Betula glandulosa;Betula humilis;Betula michauxii,0.66071;0.23076;0.14623;0.06084;0.01373,200,
173_08147_nigra,173,7408f7bb-4953-4132-8969-dc6b3db67ca5.jpg;ab04318b-a99b-47b2-b856-16b547c046a7.jpg;37fb8c56-7b69-489e-a30b-9451cf442d46.jpg,Betula nigra,0.73151,Betula nigra;Betula davurica;Prunus serotina;Carpinus betulus;Betula papyrifera,0.73151;0.06819;0.05332;0.01793;0.01748,200,
174_08148_papyrifera,174,9376fdc1-db1f-4f68-bc51-f586b0c05aed.jpg;8e5f3fae-531f-44c4-b054-ec44cb8f1dbc.jpg;549683c1-efc4-4364-b693-fd233bf662cd.jpg,Betula pendula,0.48028,Betula pendula;Betula papyrifera;Betula pubescens;Betula utilis;Betula cordifolia,0.48028;0.46611;0.13718;0.08265;0.06085,200,
175_08149_pendula,175,7a93d32c-4301-42df-98ac-fda7893e18e1.jpg;e1ddf1d0-4b47-4221-87ae-11c3f1e4b054.jpg;b6192718-6548-4f64-9820-1d8b7fd508be.jpg,Betula pendula,0.62364,Betula pendula;Betula pubescens;Betula ermanii;Betula utilis;Betula papyrifera,0.62364;0.31054;0.29084;0.21372;0.19101,200,
176_08150_populifolia,176,66fbecd8-ae88-4711-b93a-3b8646e931c5.jpg;b7c17949-a3fd-4f60-94e7-6efa8983b975.jpg;ff81c63b-ca49-4ee9-bcdf-807e2b60a0ac.jpg,Betula pendula,0.56234,Betula pendula;Betula pubescens;Populus alba;Prunus padus;Betula populifolia,0.56234;0.1132;0.09511;0.0738;0.0579,200,
177_08151_pubescens,177,24a567fa-904a-4e38-9660-ef3db37a0875.jpg;08ba9b72-2439-4102-ad2a-130316c3f5db.jpg;3fd55369-d7a3-48f2-8919-06bc57287f06.jpg,Betula nana,0.27001,Betula nana;Betula humilis;Betula pendula;Betula papyrifera;Betula pubescens,0.27001;0.17088;0.14557;0.08642;0.07927,200,
178_08154_caroliniana,178,677347a2-d98e-4425-90f8-dea85d729807.jpg;51694cec-e3d1-488f-aa8e-678d4c58c6ac.jpg;d93a7c88-d3b4-4bc7-8550-7275a83b8916.jpg,Carpinus betulus,0.41471,Carpinus betulus;Carpinus caroliniana;Ostrya carpinifolia;Carpinus orientalis;Acer pensylvanicum,0.41471;0.30136;0.22574;0.03235;0.02011,200,
179_08155_americana,179,9b8b7d09-5856-4ca4-9b0d-9565553f6c46.jpg;3619cf55-d7b6-4240-b710-a9e4bcbac8b6.jpg;36b6bcb8-7583-4b1e-9c6f-c8f70309987f.jpg,Corylus cornuta,0.60836,Corylus cornuta;Corylus avellana;Corylus colurna;Acer saccharinum;Gossypium hirsutum,0.60836;0.55115;0.05743;0.04987;0.04877,200,
180_08156_avellana,180,211d7f76-a683-4dc5-8dea-f4389f21d426.jpg;52f51df8-a334-4e36-b930-0a33dbdbbf40.jpg;3ca2cc03-fdcb-40a5-926d-0a6e6668cf69.jpg,Corylus maxima,0.7875,Corylus maxima;Corylus avellana;Corylus cornuta;Corylus sieboldiana;Corylopsis pauciflora,0.7875;0.6555;0.26977;0.01747;0.01047,200,
181_08158_virginiana,181,539c2594-3b26-4c73-8a08-0a617f30352c.jpg;0c89c0ff-83a2-4686-9beb-0193e0046c78.jpg;bce091a8-3aa1-4d04-b406-4096f6675953.jpg,Ostrya carpinifolia,0.70501,Ostrya carpinifolia;Ostrya virginiana;Fagus grandifolia;Carpinus betulus;Carya glabra,0.70501;0.64097;0.42655;0.07794;0.01994,200,
182_08159_equisetifolia,182,ecfe78de-b45d-4861-ac93-eb6d2bd8157b.jpg;f9f4fc1b-be0b-4397-a546-eeff6d1746f8.jpg;9687ca06-45a0-4316-b95f-f1086e38ad1a.jpg,Casuarina equisetifolia,0.81497,Casuarina equisetifolia;Casuarina cunninghamiana;Gymnostoma webbianum;Cupressus cashmeriana;Allocasuarina torulosa,0.81497;0.11187;0.07139;0.01554;0.01449,200,
183_08160_dentata,183,86f41641-77e7-4acb-931c-9f291d3ee85e.jpg;48e5dc8c-9257-4195-af30-8fa347b8a5d1.jpg;2518d6b2-8f9b-4b10-bba1-f9cf27a53a06.jpg,Castanea dentata,0.92368,Castanea dentata;Castanea sativa;Fagus grandifolia;Castanea pumila;Quercus muehlenbergii,0.92368;0.06229;0.01132;0.00515;0.00326,200,
184_08161_sativa,184,913e0c8a-838a-4cc0-a677-9aee14442439.jpg;89694815-28f7-4424-bb6d-edff71d2b6dc.jpg;cebff4cf-6abb-42bf-ab79-c13226f6f375.jpg,Castanea sativa,0.79788,Castanea sativa;Castanea dentata;Castanea crenata;Quercus castaneifolia;Castanea seguinii,0.79788;0.41907;0.22986;0.02598;0.01568,200,
185_08162_chrysophylla,185,6543cf9c-5ce1-4bee-b679-0dfe64e18228.jpg;5823cb04-19a3-45f0-8084-6874e2b6060b.jpg;a58a43c2-0bf7-4e9f-8f5a-011ea6bc40f6.jpg,Chrysolepis chrysophylla,0.70888,Chrysolepis chrysophylla;Myrica cerifera;Chrysolepis sempervirens;Backhousia myrtifolia;Buxus sempervirens,0.70888;0.0811;0.06845;0.01787;0.01288,200,
186_08163_sempervirens,186,b9690f8d-38af-4cdd-9e83-a2d0fc3ef8d6.jpg;297e6627-a5a7-4863-8ce2-48b0c8f4540a.jpg;2e1ed071-9a00-4d80-b33e-d54155825d6a.jpg,Chrysolepis sempervirens,0.6601,Chrysolepis sempervirens;Chrysolepis chrysophylla;Castanea sativa;Pemphis acidula;Quercus vacciniifolia,0.6601;0.18337;0.02304;0.01745;0.01657,200,
187_08164_grandifolia,187,b8765f6f-7129-4720-9be7-2ee3953778a0.jpg;0df771d5-45e6-48b6-ae63-5dafab2fb9d9.jpg;f5559114-c4f8-42fc-b0d6-4010302e013e.jpg,Fagus grandifolia,0.95489,Fagus grandifolia;Castanea sativa;Prunus serotina;Fagus × taurica;Carya glabra,0.95489;0.12171;0.0549;0.0486;0.04665,200,
188_08165_sylvatica,188,ab504d82-54b9-49f6-b2ac-9a742309acd9.jpg;5c90abc2-42cd-4b13-8d70-753ea6a2ade2.jpg;f53a1ff9-bc64-4000-a32d-499a1412e66f.jpg,Fagus sylvatica,0.57652,Fagus sylvatica;Fagus × taurica;Carpinus betulus;Tilia × europaea;Tilia cordata,0.57652;0.31974;0.13761;0.09623;0.07315,200,
189_08166_densiflorus,189,662fec4f-0cb6-42e2-8824-d20841f1bff8.jpg;53166519-dba1-41f7-99fc-72e50013ce7e.jpg;4a450273-b5c5-40b1-bda9-0f910a07042a.jpg,Notholithocarpus densiflorus,0.93186,Notholithocarpus densiflorus;Quercus ilex;Quercus faginea;Quercus tomentella;Nothofagus alpina,0.93186;0.0758;0.06535;0.03184;0.03182,200,
